session_id,trial,label,label_int,snr_db,device,fs,feat_00,feat_01,feat_02,feat_03,feat_04,feat_05,feat_06,feat_07,feat_08,feat_09,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18
unicorn_session_003,0,baseline,0,21.85,Unicorn Hybrid Black,250,357314720.0,33766148.0,229558.53125,305081.875,610861632.0,69382016.0,96887.804688,45403.585938,986926400.0,129818912.0,2010460.625,67160.109375,874228096.0,131205240.0,141242.125,24676.365234,0.000876,-7.039143,0.188821
unicorn_session_003,0,slap,1,21.17,Unicorn Hybrid Black,250,192371.3125,139839.40625,252426848.0,31898150.0,606537.1875,190553.015625,322634240.0,55622608.0,301835.5,448677.59375,643184960.0,87599448.0,2616392.5,736602.75,292947200.0,56097324.0,406.547699,6.007701,0.813748
unicorn_session_003,1,baseline,0,17.64,Unicorn Hybrid Black,250,122070920.0,12902631.0,2871674.75,52737.777344,210891664.0,26723486.0,5015837.0,398511.6875,253522080.0,36013900.0,236586.0,1223.749023,152800752.0,28634618.0,4841247.5,25309.054688,0.017538,-4.043347,1.520289
unicorn_session_003,1,slap,1,20.63,Unicorn Hybrid Black,250,207086.5625,65041.523438,245009184.0,35689160.0,139761.25,592527.125,611338752.0,89911280.0,36861.972656,1163871.875,615656000.0,90122776.0,632051.25,302343.84375,495620416.0,77011136.0,1937.093628,7.568944,1.119008
unicorn_session_003,2,baseline,0,22.48,Unicorn Hybrid Black,250,413266432.0,72611168.0,6970195.0,140849.03125,1007753728.0,150300016.0,112350.703125,26452.076172,1115461376.0,157727648.0,159064.015625,655702.5,729250816.0,95592952.0,1288438.375,642.600891,0.002612,-5.947261,0.178414
unicorn_session_003,2,slap,1,21.6,Unicorn Hybrid Black,250,1440471.75,527712.0,486119456.0,76176624.0,1276693.625,635123.0625,961436608.0,130344840.0,39816.257812,556010.75,941532032.0,126858568.0,48953.367188,297327.5625,828749824.0,126194256.0,1146.796997,7.044728,1.109604
unicorn_session_003,3,baseline,0,23.32,Unicorn Hybrid Black,250,454043776.0,74622688.0,2844354.75,49108.199219,835693120.0,114245416.0,4636165.0,37731.550781,1350330112.0,199078256.0,26229.421875,111952.203125,1347718784.0,188279264.0,706935.0625,130063.609375,0.00206,-6.184704,0.88164
unicorn_session_003,3,slap,1,18.66,Unicorn Hybrid Black,250,463973.40625,108859.625,250428768.0,35291884.0,1089670.75,375736.28125,315565376.0,53570836.0,117143.890625,223107.359375,412032160.0,59153572.0,276859.34375,342146.84375,375193120.0,49656416.0,694.796936,6.54362,1.0171
unicorn_session_003,4,baseline,0,20.64,Unicorn Hybrid Black,250,328836320.0,58340992.0,3084339.75,15660.768555,428570432.0,66338660.0,3297078.0,7864.301758,724019648.0,107137912.0,3487153.5,7869.38623,500135552.0,61857920.0,40541.976562,45180.617188,0.005001,-5.297986,0.147585
unicorn_session_003,4,slap,1,18.88,Unicorn Hybrid Black,250,182636.171875,95758.078125,110767328.0,24290630.0,487241.875,201534.03125,368422752.0,43856212.0,48380.828125,37455.480469,320974464.0,45528896.0,238876.9375,652447.0625,367148384.0,45157180.0,1219.5896,7.10627,1.260279
unicorn_session_003,5,baseline,0,21.39,Unicorn Hybrid Black,250,427833696.0,55080556.0,976320.6875,133664.125,620026304.0,83241352.0,1641361.125,242466.9375,668815680.0,98319328.0,181468.265625,24782.166016,485290048.0,77824200.0,3362667.25,106445.085938,0.002798,-5.878376,1.525089
unicorn_session_003,5,slap,1,15.83,Unicorn Hybrid Black,250,460507.46875,1386803.5,120239768.0,15697488.0,1367122.375,338157.53125,158856640.0,23003934.0,619134.4375,664987.5625,276885408.0,30641252.0,1492432.25,428178.53125,165779552.0,24169666.0,183.225525,5.210718,0.899362
unicorn_session_003,6,baseline,0,16.28,Unicorn Hybrid Black,250,83256200.0,13054571.0,3142060.25,269940.40625,168773040.0,29193548.0,3606069.75,129011.101562,239040880.0,24126956.0,72350.476562,10790.803711,199529600.0,26581780.0,2774930.75,69585.335938,0.013894,-4.276204,1.31868
unicorn_session_003,6,slap,1,19.14,Unicorn Hybrid Black,250,6170.668945,327843.71875,184120464.0,25154662.0,622164.625,478660.59375,280992640.0,45645928.0,662203.8125,411901.8125,382902048.0,52623668.0,7995.135742,4669.043457,276609216.0,44167640.0,866.072144,6.763968,0.991593
unicorn_session_003,7,baseline,0,23.92,Unicorn Hybrid Black,250,711130112.0,94787472.0,18504.792969,15399.551758,1098766976.0,146040976.0,111056.007812,96520.078125,1384488064.0,208197376.0,153057.796875,2916.700195,1208870784.0,173697008.0,3313098.5,37099.191406,0.000817,-7.109132,0.674781
unicorn_session_003,7,slap,1,22.34,Unicorn Hybrid Black,250,158757.21875,118847.859375,391185472.0,55461360.0,291010.28125,139585.8125,788844416.0,109184960.0,452428.0625,425197.0,786046080.0,106194664.0,1222709.25,43733.0,754071360.0,117214048.0,1280.126709,7.154714,1.134147
unicorn_session_003,8,baseline,0,21.48,Unicorn Hybrid Black,250,297833600.0,49349824.0,22504.091797,951.894226,537851072.0,80238424.0,4844459.5,65256.808594,902099264.0,121694152.0,3965256.0,16111.860352,509374592.0,72351456.0,4899190.0,18940.060547,0.006111,-5.097572,1.419155
unicorn_session_003,8,slap,1,18.19,Unicorn Hybrid Black,250,31995.914062,50684.667969,204861184.0,33374994.0,1372010.0,14331.994141,229593040.0,41658428.0,575675.4375,534122.6875,358699456.0,46905700.0,577947.25,187213.78125,260151328.0,41893452.0,411.828735,6.020607,0.928107
unicorn_session_003,9,baseline,0,18.64,Unicorn Hybrid Black,250,124629976.0,20776202.0,15774.393555,104571.09375,228227232.0,35735424.0,156982.5,26833.580078,323018304.0,44174580.0,2910249.0,6637.917969,384557536.0,62834504.0,4049364.75,86533.109375,0.006726,-5.00164,0.447142
unicorn_session_003,9,slap,1,17.66,Unicorn Hybrid Black,250,1099118.75,39822.628906,189925296.0,29091676.0,213922.46875,45519.042969,195409776.0,33393654.0,54728.296875,296221.84375,316076416.0,54055600.0,2497348.0,182473.734375,387394464.0,43984112.0,281.700623,5.640845,1.010786
unicorn_session_003,10,baseline,0,21.69,Unicorn Hybrid Black,250,282200128.0,36185120.0,3164987.0,27844.220703,594562624.0,85764192.0,472200.96875,200157.265625,726737600.0,107546224.0,4339552.5,15245.541992,558118656.0,89829872.0,49743.355469,6434.677246,0.003713,-5.595597,0.076378
unicorn_session_003,10,slap,1,14.39,Unicorn Hybrid Black,250,142279.953125,206134.484375,47688076.0,10883339.0,755072.5,41140.300781,116076744.0,13982604.0,745498.6875,448910.96875,159094400.0,21701488.0,156104.96875,117753.585938,161968816.0,16707078.0,269.505219,5.596588,1.131255
unicorn_session_003,11,baseline,0,19.01,Unicorn Hybrid Black,250,172867456.0,27952144.0,1548398.125,29160.871094,489566528.0,71203176.0,199481.78125,29663.289062,408347360.0,53156876.0,24987.806641,10248.390625,268551648.0,34707348.0,2779514.0,67076.5625,0.003399,-5.683982,0.654271
unicorn_session_003,11,slap,1,20.95,Unicorn Hybrid Black,250,458802.78125,612503.9375,228024240.0,36415280.0,908955.375,592977.6875,697148992.0,97131192.0,90836.914062,508497.65625,679681856.0,87905368.0,96303.945312,943674.25,488427392.0,65835660.0,1346.249756,7.205078,1.115052
unicorn_session_003,12,baseline,0,22.3,Unicorn Hybrid Black,250,316205984.0,59428080.0,348193.46875,20610.441406,772311232.0,119365920.0,58705.105469,47545.972656,770766976.0,113246736.0,4987353.0,44493.695312,748183744.0,116923504.0,99054.132812,57718.074219,0.002107,-6.16213,0.055527
unicorn_session_003,12,slap,1,22.28,Unicorn Hybrid Black,250,44700.847656,8666.99707,270635200.0,49719316.0,380472.71875,461579.0,465163648.0,75574792.0,230227.703125,183710.71875,681274752.0,98858360.0,69245.976562,30591.705078,585794752.0,66591932.0,2763.921875,7.924406,1.042517
unicorn_session_003,13,baseline,0,22.17,Unicorn Hybrid Black,250,327371360.0,50873872.0,675907.25,14965.414062,466680160.0,51470416.0,158503.09375,16608.121094,729118400.0,104661400.0,1326727.25,6670.40332,428717440.0,60133340.0,17121.542969,149040.765625,0.001116,-6.797131,0.095662
unicorn_session_003,13,slap,1,23.67,Unicorn Hybrid Black,250,988663.8125,321177.8125,476717184.0,66059772.0,258314.765625,451256.15625,788920768.0,112662616.0,666939.9375,411236.53125,981419968.0,130082704.0,491304.28125,39021.503906,732651456.0,112583896.0,1238.849609,7.121939,1.02059
unicorn_session_003,14,baseline,0,16.07,Unicorn Hybrid Black,250,91884760.0,12328938.0,330100.4375,22006.701172,176670896.0,16759607.0,345139.65625,3702.95752,232149920.0,25516202.0,2851870.0,10983.274414,203840704.0,33187526.0,3771173.0,15625.072266,0.010359,-4.569818,0.625281
